kode,string
8450,Komponen Angkutan Rel  berkontribusi sebesar 0.000000 rupiah terhadap PDRB Provinsi Sulawesi Tenggara
8451,Komponen Angkutan Sungai Danau dan Penyeberangan berkontribusi sebesar 311096.899378 rupiah terhadap PDRB Provinsi Sulawesi Tenggara
8452,Komponen Angkutan Udara berkontribusi sebesar 1778737.050235 rupiah terhadap PDRB Provinsi Sulawesi Tenggara
8453,Komponen Asuransi dan Dana Pensiun berkontribusi sebesar 285531.204630 rupiah terhadap PDRB Provinsi Sulawesi Tenggara
8454,Komponen Industri Alat Angkutan berkontribusi sebesar 1642021.089655 rupiah terhadap PDRB Provinsi Sulawesi Tenggara
8455,Komponen Industri Barang Galian bukan Logam berkontribusi sebesar 339099.955596 rupiah terhadap PDRB Provinsi Sulawesi Tenggara
8456,"Komponen Industri Barang dari Logam, Komputer, Barang Elektronik, Optik dan Peralatan Listrik berkontribusi sebesar 837536.675451 rupiah terhadap PDRB Provinsi Sulawesi Tenggara"
8457,Komponen Industri Batubara dan Pengilangan Migas berkontribusi sebesar 0.000000 rupiah terhadap PDRB Provinsi Sulawesi Tenggara
8458,Komponen Industri Furnitur berkontribusi sebesar 269835.885888 rupiah terhadap PDRB Provinsi Sulawesi Tenggara
8459,"Komponen Industri Karet, Barang dari Karet dan Plastik berkontribusi sebesar 8770.320574 rupiah terhadap PDRB Provinsi Sulawesi Tenggara"
8460,"Komponen Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya  berkontribusi sebesar 537350.647844 rupiah terhadap PDRB Provinsi Sulawesi Tenggara"
8461,"Komponen Industri Kertas dan Barang dari Kertas, Percetakan dan Reproduksi Media Rekaman  berkontribusi sebesar 17812.031141 rupiah terhadap PDRB Provinsi Sulawesi Tenggara"
8462,"Komponen Industri Kimia, Farmasi dan Obat Tradisional berkontribusi sebesar 12879.845434 rupiah terhadap PDRB Provinsi Sulawesi Tenggara"
8463,"Komponen Industri Kulit, Barang dari Kulit dan Alas Kaki  berkontribusi sebesar 36918.665699 rupiah terhadap PDRB Provinsi Sulawesi Tenggara"
8464,Komponen Industri Logam Dasar  berkontribusi sebesar 630523.566626 rupiah terhadap PDRB Provinsi Sulawesi Tenggara
8465,Komponen Industri Makanan dan Minuman  berkontribusi sebesar 2984740.099428 rupiah terhadap PDRB Provinsi Sulawesi Tenggara
8466,Komponen Industri Mesin dan Perlengkapan YTDL berkontribusi sebesar 178420.053026 rupiah terhadap PDRB Provinsi Sulawesi Tenggara
8467,"Komponen Industri Pengolahan Lainnya, Jasa Reparasi dan Pemasangan Mesin dan Peralatan berkontribusi sebesar 28307.686863 rupiah terhadap PDRB Provinsi Sulawesi Tenggara"
8468,Komponen Industri Pengolahan Tembakau berkontribusi sebesar 17.738713 rupiah terhadap PDRB Provinsi Sulawesi Tenggara
8469,Komponen Industri Tekstil dan Pakaian Jadi berkontribusi sebesar 224316.812630 rupiah terhadap PDRB Provinsi Sulawesi Tenggara
8470,Komponen Jasa Informasi dan Komunikasi berkontribusi sebesar 2722821.540674 rupiah terhadap PDRB Provinsi Sulawesi Tenggara
8471,Komponen Jasa Kesehatan dan Kegiatan Sosial berkontribusi sebesar 1169785.959259 rupiah terhadap PDRB Provinsi Sulawesi Tenggara
8472,Komponen Jasa Keuangan Lainnya berkontribusi sebesar 329019.520081 rupiah terhadap PDRB Provinsi Sulawesi Tenggara
8473,Komponen Jasa Lainnya berkontribusi sebesar 1365706.379831 rupiah terhadap PDRB Provinsi Sulawesi Tenggara
8474,Komponen Jasa Pendidikan berkontribusi sebesar 3093085.919339 rupiah terhadap PDRB Provinsi Sulawesi Tenggara
8475,Komponen Jasa Penunjang Keuangan berkontribusi sebesar 283488.057465 rupiah terhadap PDRB Provinsi Sulawesi Tenggara
8476,Komponen Jasa Perantara Keuangan Selain Bank Sentral berkontribusi sebesar 1981462.842946 rupiah terhadap PDRB Provinsi Sulawesi Tenggara
8477,Komponen Jasa Pertanian dan Perburuan   berkontribusi sebesar 129144.346118 rupiah terhadap PDRB Provinsi Sulawesi Tenggara
8478,Komponen Jasa Perusahaan berkontribusi sebesar 669966.133876 rupiah terhadap PDRB Provinsi Sulawesi Tenggara
8479,Komponen Kehutanan dan Penebangan Kayu berkontribusi sebesar 242345.236872 rupiah terhadap PDRB Provinsi Sulawesi Tenggara
8480,Komponen Ketenagalistrikan  berkontribusi sebesar 256211.617961 rupiah terhadap PDRB Provinsi Sulawesi Tenggara
8481,Komponen Kompensasi Tenaga Kerja berkontribusi sebesar 33603416.512954 rupiah terhadap PDRB Provinsi Sulawesi Tenggara
8482,Komponen Konstruksi berkontribusi sebesar 12477219.442123 rupiah terhadap PDRB Provinsi Sulawesi Tenggara
8483,Komponen Konsumsi LNPRT berkontribusi sebesar 977502.609938 rupiah terhadap PDRB Provinsi Sulawesi Tenggara
8484,Komponen Konsumsi Pemerintah berkontribusi sebesar 14265289.863289 rupiah terhadap PDRB Provinsi Sulawesi Tenggara
8485,Komponen Konsumsi Rumah Tangga berkontribusi sebesar 50903977.593419 rupiah terhadap PDRB Provinsi Sulawesi Tenggara
8486,Komponen Pajak Neto Subsidi Atas Produksi berkontribusi sebesar 2408710.469181 rupiah terhadap PDRB Provinsi Sulawesi Tenggara
8487,Komponen Pembentukan Modal Tetap Bruto berkontribusi sebesar 40458527.124672 rupiah terhadap PDRB Provinsi Sulawesi Tenggara
8488,"Komponen Pengadaan Air, Pengelolaan Sampah, Limbah, dan Daur Ulang berkontribusi sebesar 375995.397873 rupiah terhadap PDRB Provinsi Sulawesi Tenggara"
8489,Komponen Pengadaan Gas dan Produksi Es berkontribusi sebesar 42662.318907 rupiah terhadap PDRB Provinsi Sulawesi Tenggara
8490,Komponen Penyediaan Akomodasi  berkontribusi sebesar 349566.549811 rupiah terhadap PDRB Provinsi Sulawesi Tenggara
8491,Komponen Penyediaan Makan Minum berkontribusi sebesar 983452.915940 rupiah terhadap PDRB Provinsi Sulawesi Tenggara
8492,"Komponen Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor berkontribusi sebesar 9317730.304296 rupiah terhadap PDRB Provinsi Sulawesi Tenggara"
8493,"Komponen Perdagangan Mobil, Sepeda Motor dan Reparasinya berkontribusi sebesar 2530110.011627 rupiah terhadap PDRB Provinsi Sulawesi Tenggara"
8494,"Komponen Pergudangan dan Jasa Penunjang Angkutan, Pos dan Kurir berkontribusi sebesar 321579.634486 rupiah terhadap PDRB Provinsi Sulawesi Tenggara"
8495,Komponen Perikanan  berkontribusi sebesar 10349921.034975 rupiah terhadap PDRB Provinsi Sulawesi Tenggara
8496,Komponen Perkebunan Semusim dan Tahunan berkontribusi sebesar 1978398.471817 rupiah terhadap PDRB Provinsi Sulawesi Tenggara
8497,Komponen Pertambangan Batubara dan Lignit berkontribusi sebesar 0.000000 rupiah terhadap PDRB Provinsi Sulawesi Tenggara
8498,Komponen Pertambangan Bijih Logam berkontribusi sebesar 3163594.415487 rupiah terhadap PDRB Provinsi Sulawesi Tenggara
8499,"Komponen Pertambangan Minyak, Gas dan Panas Bumi berkontribusi sebesar 0.000000 rupiah terhadap PDRB Provinsi Sulawesi Tenggara"
8500,Komponen Pertambangan dan Penggalian Lainnya berkontribusi sebesar 5459628.418549 rupiah terhadap PDRB Provinsi Sulawesi Tenggara
8501,"Komponen Pertanian Tanaman Hortikultura Semusim, Hortikultura Tahunan, dan Lainnya berkontribusi sebesar 1753366.993974 rupiah terhadap PDRB Provinsi Sulawesi Tenggara"
8502,Komponen Pertanian Tanaman Pangan  berkontribusi sebesar 2468313.052542 rupiah terhadap PDRB Provinsi Sulawesi Tenggara
8503,Komponen Perubahan Inventori berkontribusi sebesar 191624.515069 rupiah terhadap PDRB Provinsi Sulawesi Tenggara
8504,Komponen Peternakan  berkontribusi sebesar 638262.247494 rupiah terhadap PDRB Provinsi Sulawesi Tenggara
8505,Komponen Real Estate berkontribusi sebesar 2816472.101978 rupiah terhadap PDRB Provinsi Sulawesi Tenggara
8506,Komponen Surplus Usaha (termasuk pendapatan campuran) Bruto berkontribusi sebesar 51505955.184572 rupiah terhadap PDRB Provinsi Sulawesi Tenggara
8507,"Komponen Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib berkontribusi sebesar 6041430.986930 rupiah terhadap PDRB Provinsi Sulawesi Utara"
8508,Komponen Angkutan Darat berkontribusi sebesar 7800759.509517 rupiah terhadap PDRB Provinsi Sulawesi Utara
8509,Komponen Angkutan Laut  berkontribusi sebesar 1747975.052601 rupiah terhadap PDRB Provinsi Sulawesi Utara
8510,Komponen Angkutan Rel  berkontribusi sebesar 0.000000 rupiah terhadap PDRB Provinsi Sulawesi Utara
8511,Komponen Angkutan Sungai Danau dan Penyeberangan berkontribusi sebesar 309600.031126 rupiah terhadap PDRB Provinsi Sulawesi Utara
8512,Komponen Angkutan Udara berkontribusi sebesar 2942351.269333 rupiah terhadap PDRB Provinsi Sulawesi Utara
8513,Komponen Asuransi dan Dana Pensiun berkontribusi sebesar 450567.311011 rupiah terhadap PDRB Provinsi Sulawesi Utara
8514,Komponen Industri Alat Angkutan berkontribusi sebesar 233949.707634 rupiah terhadap PDRB Provinsi Sulawesi Utara
8515,Komponen Industri Barang Galian bukan Logam berkontribusi sebesar 358392.682070 rupiah terhadap PDRB Provinsi Sulawesi Utara
8516,"Komponen Industri Barang dari Logam, Komputer, Barang Elektronik, Optik dan Peralatan Listrik berkontribusi sebesar 363917.043897 rupiah terhadap PDRB Provinsi Sulawesi Utara"
8517,Komponen Industri Batubara dan Pengilangan Migas berkontribusi sebesar 0.000000 rupiah terhadap PDRB Provinsi Sulawesi Utara
8518,Komponen Industri Furnitur berkontribusi sebesar 293220.871327 rupiah terhadap PDRB Provinsi Sulawesi Utara
8519,"Komponen Industri Karet, Barang dari Karet dan Plastik berkontribusi sebesar 22246.911477 rupiah terhadap PDRB Provinsi Sulawesi Utara"
8520,"Komponen Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya  berkontribusi sebesar 153513.827395 rupiah terhadap PDRB Provinsi Sulawesi Utara"
8521,"Komponen Industri Kertas dan Barang dari Kertas, Percetakan dan Reproduksi Media Rekaman  berkontribusi sebesar 255817.876945 rupiah terhadap PDRB Provinsi Sulawesi Utara"
8522,"Komponen Industri Kimia, Farmasi dan Obat Tradisional berkontribusi sebesar 223274.549100 rupiah terhadap PDRB Provinsi Sulawesi Utara"
8523,"Komponen Industri Kulit, Barang dari Kulit dan Alas Kaki  berkontribusi sebesar 6424.810591 rupiah terhadap PDRB Provinsi Sulawesi Utara"
8524,Komponen Industri Logam Dasar  berkontribusi sebesar 122778.527615 rupiah terhadap PDRB Provinsi Sulawesi Utara
8525,Komponen Industri Makanan dan Minuman  berkontribusi sebesar 8026656.698248 rupiah terhadap PDRB Provinsi Sulawesi Utara
8526,Komponen Industri Mesin dan Perlengkapan YTDL berkontribusi sebesar 144438.310508 rupiah terhadap PDRB Provinsi Sulawesi Utara
8527,"Komponen Industri Pengolahan Lainnya, Jasa Reparasi dan Pemasangan Mesin dan Peralatan berkontribusi sebesar 170660.432257 rupiah terhadap PDRB Provinsi Sulawesi Utara"
8528,Komponen Industri Pengolahan Tembakau berkontribusi sebesar 0.000000 rupiah terhadap PDRB Provinsi Sulawesi Utara
8529,Komponen Industri Tekstil dan Pakaian Jadi berkontribusi sebesar 127907.972476 rupiah terhadap PDRB Provinsi Sulawesi Utara
8530,Komponen Jasa Informasi dan Komunikasi berkontribusi sebesar 3955420.503025 rupiah terhadap PDRB Provinsi Sulawesi Utara
8531,Komponen Jasa Kesehatan dan Kegiatan Sosial berkontribusi sebesar 1802630.343947 rupiah terhadap PDRB Provinsi Sulawesi Utara
8532,Komponen Jasa Keuangan Lainnya berkontribusi sebesar 997943.174544 rupiah terhadap PDRB Provinsi Sulawesi Utara
8533,Komponen Jasa Lainnya berkontribusi sebesar 2766956.446896 rupiah terhadap PDRB Provinsi Sulawesi Utara
8534,Komponen Jasa Pendidikan berkontribusi sebesar 4781606.983855 rupiah terhadap PDRB Provinsi Sulawesi Utara
8535,Komponen Jasa Penunjang Keuangan berkontribusi sebesar 39628.424301 rupiah terhadap PDRB Provinsi Sulawesi Utara
8536,Komponen Jasa Perantara Keuangan Selain Bank Sentral berkontribusi sebesar 2978986.027968 rupiah terhadap PDRB Provinsi Sulawesi Utara
8537,Komponen Jasa Pertanian dan Perburuan   berkontribusi sebesar 196531.943269 rupiah terhadap PDRB Provinsi Sulawesi Utara
8538,Komponen Jasa Perusahaan berkontribusi sebesar 1046525.339644 rupiah terhadap PDRB Provinsi Sulawesi Utara
8539,Komponen Kehutanan dan Penebangan Kayu berkontribusi sebesar 540608.674759 rupiah terhadap PDRB Provinsi Sulawesi Utara
8540,Komponen Ketenagalistrikan  berkontribusi sebesar 462265.186908 rupiah terhadap PDRB Provinsi Sulawesi Utara
8541,Komponen Kompensasi Tenaga Kerja berkontribusi sebesar 55344213.262465 rupiah terhadap PDRB Provinsi Sulawesi Utara
8542,Komponen Konstruksi berkontribusi sebesar 12366732.995714 rupiah terhadap PDRB Provinsi Sulawesi Utara
8543,Komponen Konsumsi LNPRT berkontribusi sebesar 2037751.073233 rupiah terhadap PDRB Provinsi Sulawesi Utara
8544,Komponen Konsumsi Pemerintah berkontribusi sebesar 14799051.889495 rupiah terhadap PDRB Provinsi Sulawesi Utara
8545,Komponen Konsumsi Rumah Tangga berkontribusi sebesar 55579540.131759 rupiah terhadap PDRB Provinsi Sulawesi Utara
8546,Komponen Pajak Neto Subsidi Atas Produksi berkontribusi sebesar 4239042.285875 rupiah terhadap PDRB Provinsi Sulawesi Utara
8547,Komponen Pembentukan Modal Tetap Bruto berkontribusi sebesar 38681703.775345 rupiah terhadap PDRB Provinsi Sulawesi Utara
8548,"Komponen Pengadaan Air, Pengelolaan Sampah, Limbah, dan Daur Ulang berkontribusi sebesar 163535.336878 rupiah terhadap PDRB Provinsi Sulawesi Utara"
8549,Komponen Pengadaan Gas dan Produksi Es berkontribusi sebesar 21502.876911 rupiah terhadap PDRB Provinsi Sulawesi Utara
8550,Komponen Penyediaan Akomodasi  berkontribusi sebesar 1487845.087405 rupiah terhadap PDRB Provinsi Sulawesi Utara
8551,Komponen Penyediaan Makan Minum berkontribusi sebesar 1809161.179920 rupiah terhadap PDRB Provinsi Sulawesi Utara
8552,"Komponen Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor berkontribusi sebesar 8382528.750241 rupiah terhadap PDRB Provinsi Sulawesi Utara"
8553,"Komponen Perdagangan Mobil, Sepeda Motor dan Reparasinya berkontribusi sebesar 4276939.067768 rupiah terhadap PDRB Provinsi Sulawesi Utara"
8554,"Komponen Pergudangan dan Jasa Penunjang Angkutan, Pos dan Kurir berkontribusi sebesar 712356.070206 rupiah terhadap PDRB Provinsi Sulawesi Utara"
8555,Komponen Perikanan  berkontribusi sebesar 8396956.379520 rupiah terhadap PDRB Provinsi Sulawesi Utara
8556,Komponen Perkebunan Semusim dan Tahunan berkontribusi sebesar 5209086.419587 rupiah terhadap PDRB Provinsi Sulawesi Utara
8557,Komponen Pertambangan Batubara dan Lignit berkontribusi sebesar 0.000000 rupiah terhadap PDRB Provinsi Sulawesi Utara
8558,Komponen Pertambangan Bijih Logam berkontribusi sebesar 2229466.828197 rupiah terhadap PDRB Provinsi Sulawesi Utara
8559,"Komponen Pertambangan Minyak, Gas dan Panas Bumi berkontribusi sebesar 285040.871913 rupiah terhadap PDRB Provinsi Sulawesi Utara"
8560,Komponen Pertambangan dan Penggalian Lainnya berkontribusi sebesar 3570344.660738 rupiah terhadap PDRB Provinsi Sulawesi Utara
8561,"Komponen Pertanian Tanaman Hortikultura Semusim, Hortikultura Tahunan, dan Lainnya berkontribusi sebesar 3254633.287838 rupiah terhadap PDRB Provinsi Sulawesi Utara"
8562,Komponen Pertanian Tanaman Pangan  berkontribusi sebesar 2868675.638014 rupiah terhadap PDRB Provinsi Sulawesi Utara
8563,Komponen Perubahan Inventori berkontribusi sebesar 371904.050643 rupiah terhadap PDRB Provinsi Sulawesi Utara
8564,Komponen Peternakan  berkontribusi sebesar 2304309.349543 rupiah terhadap PDRB Provinsi Sulawesi Utara
8565,Komponen Real Estate berkontribusi sebesar 2558991.402542 rupiah terhadap PDRB Provinsi Sulawesi Utara
8566,Komponen Surplus Usaha (termasuk pendapatan campuran) Bruto berkontribusi sebesar 49679838.085770 rupiah terhadap PDRB Provinsi Sulawesi Utara
8567,"Komponen Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib berkontribusi sebesar 8155580.179652 rupiah terhadap PDRB Provinsi Sumatera Barat"
8568,Komponen Angkutan Darat berkontribusi sebesar 12599853.816394 rupiah terhadap PDRB Provinsi Sumatera Barat
8569,Komponen Angkutan Laut  berkontribusi sebesar 717614.944457 rupiah terhadap PDRB Provinsi Sumatera Barat
8570,Komponen Angkutan Rel  berkontribusi sebesar 36155.956686 rupiah terhadap PDRB Provinsi Sumatera Barat
8571,Komponen Angkutan Sungai Danau dan Penyeberangan berkontribusi sebesar 401605.318529 rupiah terhadap PDRB Provinsi Sumatera Barat
8572,Komponen Angkutan Udara berkontribusi sebesar 3586707.163562 rupiah terhadap PDRB Provinsi Sumatera Barat
8573,Komponen Asuransi dan Dana Pensiun berkontribusi sebesar 497189.486907 rupiah terhadap PDRB Provinsi Sumatera Barat
8574,Komponen Industri Alat Angkutan berkontribusi sebesar 5949.449815 rupiah terhadap PDRB Provinsi Sumatera Barat
8575,Komponen Industri Barang Galian bukan Logam berkontribusi sebesar 3740315.328269 rupiah terhadap PDRB Provinsi Sumatera Barat
8576,"Komponen Industri Barang dari Logam, Komputer, Barang Elektronik, Optik dan Peralatan Listrik berkontribusi sebesar 125915.078181 rupiah terhadap PDRB Provinsi Sumatera Barat"
8577,Komponen Industri Batubara dan Pengilangan Migas berkontribusi sebesar 14793.888238 rupiah terhadap PDRB Provinsi Sumatera Barat
8578,Komponen Industri Furnitur berkontribusi sebesar 424741.051645 rupiah terhadap PDRB Provinsi Sumatera Barat
8579,"Komponen Industri Karet, Barang dari Karet dan Plastik berkontribusi sebesar 2168923.317064 rupiah terhadap PDRB Provinsi Sumatera Barat"
8580,"Komponen Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya  berkontribusi sebesar 681930.817115 rupiah terhadap PDRB Provinsi Sumatera Barat"
8581,"Komponen Industri Kertas dan Barang dari Kertas, Percetakan dan Reproduksi Media Rekaman  berkontribusi sebesar 87749.812784 rupiah terhadap PDRB Provinsi Sumatera Barat"
8582,"Komponen Industri Kimia, Farmasi dan Obat Tradisional berkontribusi sebesar 33453.441734 rupiah terhadap PDRB Provinsi Sumatera Barat"
8583,"Komponen Industri Kulit, Barang dari Kulit dan Alas Kaki  berkontribusi sebesar 11717.557567 rupiah terhadap PDRB Provinsi Sumatera Barat"
8584,Komponen Industri Logam Dasar  berkontribusi sebesar 0.000000 rupiah terhadap PDRB Provinsi Sumatera Barat
8585,Komponen Industri Makanan dan Minuman  berkontribusi sebesar 10157115.683337 rupiah terhadap PDRB Provinsi Sumatera Barat
8586,Komponen Industri Mesin dan Perlengkapan YTDL berkontribusi sebesar 0.000000 rupiah terhadap PDRB Provinsi Sumatera Barat
8587,"Komponen Industri Pengolahan Lainnya, Jasa Reparasi dan Pemasangan Mesin dan Peralatan berkontribusi sebesar 82077.101184 rupiah terhadap PDRB Provinsi Sumatera Barat"
8588,Komponen Industri Pengolahan Tembakau berkontribusi sebesar 36215.555902 rupiah terhadap PDRB Provinsi Sumatera Barat
8589,Komponen Industri Tekstil dan Pakaian Jadi berkontribusi sebesar 847632.754019 rupiah terhadap PDRB Provinsi Sumatera Barat
8590,Komponen Jasa Informasi dan Komunikasi berkontribusi sebesar 9201380.926185 rupiah terhadap PDRB Provinsi Sumatera Barat
8591,Komponen Jasa Kesehatan dan Kegiatan Sosial berkontribusi sebesar 2661709.096600 rupiah terhadap PDRB Provinsi Sumatera Barat
8592,Komponen Jasa Keuangan Lainnya berkontribusi sebesar 1134771.367095 rupiah terhadap PDRB Provinsi Sumatera Barat
8593,Komponen Jasa Lainnya berkontribusi sebesar 3946129.867340 rupiah terhadap PDRB Provinsi Sumatera Barat
8594,Komponen Jasa Pendidikan berkontribusi sebesar 9528925.749202 rupiah terhadap PDRB Provinsi Sumatera Barat
8595,Komponen Jasa Penunjang Keuangan berkontribusi sebesar 131902.960313 rupiah terhadap PDRB Provinsi Sumatera Barat
8596,Komponen Jasa Perantara Keuangan Selain Bank Sentral berkontribusi sebesar 4014754.762187 rupiah terhadap PDRB Provinsi Sumatera Barat
8597,Komponen Jasa Pertanian dan Perburuan   berkontribusi sebesar 574401.980055 rupiah terhadap PDRB Provinsi Sumatera Barat
8598,Komponen Jasa Perusahaan berkontribusi sebesar 1798887.735926 rupiah terhadap PDRB Provinsi Sumatera Barat
8599,Komponen Kehutanan dan Penebangan Kayu berkontribusi sebesar 2508524.074207 rupiah terhadap PDRB Provinsi Sumatera Barat
8600,Komponen Ketenagalistrikan  berkontribusi sebesar 597499.728169 rupiah terhadap PDRB Provinsi Sumatera Barat
8601,Komponen Kompensasi Tenaga Kerja berkontribusi sebesar 79519610.244523 rupiah terhadap PDRB Provinsi Sumatera Barat
8602,Komponen Konstruksi berkontribusi sebesar 17795323.381364 rupiah terhadap PDRB Provinsi Sumatera Barat
8603,Komponen Konsumsi LNPRT berkontribusi sebesar 2152153.793786 rupiah terhadap PDRB Provinsi Sumatera Barat
8604,Komponen Konsumsi Pemerintah berkontribusi sebesar 23018868.813446 rupiah terhadap PDRB Provinsi Sumatera Barat
8605,Komponen Konsumsi Rumah Tangga berkontribusi sebesar 121006705.088722 rupiah terhadap PDRB Provinsi Sumatera Barat
8606,Komponen Pajak Neto Subsidi Atas Produksi berkontribusi sebesar 4078922.579251 rupiah terhadap PDRB Provinsi Sumatera Barat
8607,Komponen Pembentukan Modal Tetap Bruto berkontribusi sebesar 65038192.456841 rupiah terhadap PDRB Provinsi Sumatera Barat
8608,"Komponen Pengadaan Air, Pengelolaan Sampah, Limbah, dan Daur Ulang berkontribusi sebesar 326691.756311 rupiah terhadap PDRB Provinsi Sumatera Barat"
8609,Komponen Pengadaan Gas dan Produksi Es berkontribusi sebesar 1183.725261 rupiah terhadap PDRB Provinsi Sumatera Barat
8610,Komponen Penyediaan Akomodasi  berkontribusi sebesar 1377982.197064 rupiah terhadap PDRB Provinsi Sumatera Barat
8611,Komponen Penyediaan Makan Minum berkontribusi sebesar 5783190.633470 rupiah terhadap PDRB Provinsi Sumatera Barat
8612,"Komponen Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor berkontribusi sebesar 19140806.802221 rupiah terhadap PDRB Provinsi Sumatera Barat"
8613,"Komponen Perdagangan Mobil, Sepeda Motor dan Reparasinya berkontribusi sebesar 5274775.507120 rupiah terhadap PDRB Provinsi Sumatera Barat"
8614,"Komponen Pergudangan dan Jasa Penunjang Angkutan, Pos dan Kurir berkontribusi sebesar 2422918.489694 rupiah terhadap PDRB Provinsi Sumatera Barat"
8615,Komponen Perikanan  berkontribusi sebesar 6733395.870262 rupiah terhadap PDRB Provinsi Sumatera Barat
8616,Komponen Perkebunan Semusim dan Tahunan berkontribusi sebesar 13408164.501438 rupiah terhadap PDRB Provinsi Sumatera Barat
8617,Komponen Pertambangan Batubara dan Lignit berkontribusi sebesar 57667.954551 rupiah terhadap PDRB Provinsi Sumatera Barat
8618,Komponen Pertambangan Bijih Logam berkontribusi sebesar 106926.718153 rupiah terhadap PDRB Provinsi Sumatera Barat
8619,"Komponen Pertambangan Minyak, Gas dan Panas Bumi berkontribusi sebesar 0.000000 rupiah terhadap PDRB Provinsi Sumatera Barat"
8620,Komponen Pertambangan dan Penggalian Lainnya berkontribusi sebesar 6881286.191501 rupiah terhadap PDRB Provinsi Sumatera Barat
8621,"Komponen Pertanian Tanaman Hortikultura Semusim, Hortikultura Tahunan, dan Lainnya berkontribusi sebesar 8591725.950997 rupiah terhadap PDRB Provinsi Sumatera Barat"
8622,Komponen Pertanian Tanaman Pangan  berkontribusi sebesar 6534065.873511 rupiah terhadap PDRB Provinsi Sumatera Barat
8623,Komponen Perubahan Inventori berkontribusi sebesar 188109.149977 rupiah terhadap PDRB Provinsi Sumatera Barat
8624,Komponen Peternakan  berkontribusi sebesar 4360842.290168 rupiah terhadap PDRB Provinsi Sumatera Barat
8625,Komponen Real Estate berkontribusi sebesar 5635848.296872 rupiah terhadap PDRB Provinsi Sumatera Barat
8626,Komponen Surplus Usaha (termasuk pendapatan campuran) Bruto berkontribusi sebesar 101346389.266500 rupiah terhadap PDRB Provinsi Sumatera Barat
8627,"Komponen Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib berkontribusi sebesar 10967571.862621 rupiah terhadap PDRB Provinsi Sumatera Selatan"
8628,Komponen Angkutan Darat berkontribusi sebesar 5467537.546950 rupiah terhadap PDRB Provinsi Sumatera Selatan
8629,Komponen Angkutan Laut  berkontribusi sebesar 364945.650367 rupiah terhadap PDRB Provinsi Sumatera Selatan
8630,Komponen Angkutan Rel  berkontribusi sebesar 325476.663838 rupiah terhadap PDRB Provinsi Sumatera Selatan
8631,Komponen Angkutan Sungai Danau dan Penyeberangan berkontribusi sebesar 260531.723981 rupiah terhadap PDRB Provinsi Sumatera Selatan
8632,Komponen Angkutan Udara berkontribusi sebesar 3751264.909763 rupiah terhadap PDRB Provinsi Sumatera Selatan
8633,Komponen Asuransi dan Dana Pensiun berkontribusi sebesar 1699293.002694 rupiah terhadap PDRB Provinsi Sumatera Selatan
8634,Komponen Industri Alat Angkutan berkontribusi sebesar 115616.292540 rupiah terhadap PDRB Provinsi Sumatera Selatan
8635,Komponen Industri Barang Galian bukan Logam berkontribusi sebesar 6106332.356709 rupiah terhadap PDRB Provinsi Sumatera Selatan
8636,"Komponen Industri Barang dari Logam, Komputer, Barang Elektronik, Optik dan Peralatan Listrik berkontribusi sebesar 2220784.020104 rupiah terhadap PDRB Provinsi Sumatera Selatan"
8637,Komponen Industri Batubara dan Pengilangan Migas berkontribusi sebesar 30450555.774556 rupiah terhadap PDRB Provinsi Sumatera Selatan
8638,Komponen Industri Furnitur berkontribusi sebesar 285079.035023 rupiah terhadap PDRB Provinsi Sumatera Selatan
8639,"Komponen Industri Karet, Barang dari Karet dan Plastik berkontribusi sebesar 4819168.957676 rupiah terhadap PDRB Provinsi Sumatera Selatan"
8640,"Komponen Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya  berkontribusi sebesar 584242.376316 rupiah terhadap PDRB Provinsi Sumatera Selatan"
8641,"Komponen Industri Kertas dan Barang dari Kertas, Percetakan dan Reproduksi Media Rekaman  berkontribusi sebesar 1606843.045818 rupiah terhadap PDRB Provinsi Sumatera Selatan"
8642,"Komponen Industri Kimia, Farmasi dan Obat Tradisional berkontribusi sebesar 9682486.643814 rupiah terhadap PDRB Provinsi Sumatera Selatan"
8643,"Komponen Industri Kulit, Barang dari Kulit dan Alas Kaki  berkontribusi sebesar 166286.291462 rupiah terhadap PDRB Provinsi Sumatera Selatan"
8644,Komponen Industri Logam Dasar  berkontribusi sebesar 162805.392001 rupiah terhadap PDRB Provinsi Sumatera Selatan
8645,Komponen Industri Makanan dan Minuman  berkontribusi sebesar 17031619.466515 rupiah terhadap PDRB Provinsi Sumatera Selatan
8646,Komponen Industri Mesin dan Perlengkapan YTDL berkontribusi sebesar 363699.605034 rupiah terhadap PDRB Provinsi Sumatera Selatan
